BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
BROOKLYN,0,0,4268247
BRONX,0,0,4268183
BROOKLYN,0,0,4269721
QUEENS,0,0,4268223
BROOKLYN,1,0,4268192
QUEENS,0,0,4268221
QUEENS,1,0,4269194
MANHATTAN,0,0,4268143
QUEENS,0,0,4268342
QUEENS,0,0,4269222
QUEENS,0,0,4268797
BRONX,0,0,4268146
MANHATTAN,1,0,4268322
BROOKLYN,0,0,4268070
BRONX,2,0,4268407
BROOKLYN,0,0,4268281
BRONX,1,0,4269485
BROOKLYN,0,0,4269000
BRONX,0,0,4268370
BROOKLYN,1,0,4268207
BROOKLYN,0,0,4380983
BRONX,1,0,4268093
QUEENS,0,0,4268259
BROOKLYN,0,0,4268456
BROOKLYN,0,0,4268211
BROOKLYN,0,0,4268035
BRONX,0,0,4269484
QUEENS,0,0,4268701
QUEENS,0,0,4268258
BROOKLYN,0,0,4268042
BROOKLYN,0,0,4269398
QUEENS,0,0,4267961
MANHATTAN,1,0,4268445
BROOKLYN,0,0,4269397
BROOKLYN,0,0,4268292
BRONX,1,0,4268181
BRONX,0,0,4268327
BRONX,0,0,4270599
BROOKLYN,0,0,4268214
BROOKLYN,1,0,4274343
QUEENS,0,0,4268841
BROOKLYN,0,0,4268051
STATEN ISLAND,1,0,4268155
BROOKLYN,0,0,4268063
QUEENS,0,0,4268502
BROOKLYN,0,0,4268186
QUEENS,0,0,4268500
MANHATTAN,0,0,4267869
BRONX,0,0,4268091
BROOKLYN,0,0,4268455
BRONX,0,0,4269436
BRONX,0,0,4268164
BROOKLYN,0,0,4268689
BROOKLYN,0,0,4268165
MANHATTAN,0,0,4269779
BROOKLYN,0,0,4268114
QUEENS,0,0,4268624
BRONX,0,0,4267925
BROOKLYN,1,0,4268161
STATEN ISLAND,0,0,4269344
QUEENS,0,0,4268684
STATEN ISLAND,0,0,4268154
MANHATTAN,0,0,4268174
BROOKLYN,0,0,4285013
BROOKLYN,0,0,4269400
QUEENS,1,0,4268067
BROOKLYN,0,0,4268029
BROOKLYN,0,0,4268293
MANHATTAN,0,0,4268347
MANHATTAN,0,0,4268348
MANHATTAN,0,0,4268256
BROOKLYN,0,0,4268236
BROOKLYN,0,0,4268540
BRONX,0,0,4381338
MANHATTAN,0,0,4268305
QUEENS,0,0,4268390
BRONX,0,0,4268784
BROOKLYN,0,0,4268457
QUEENS,0,0,4267984
QUEENS,0,0,4268171
BROOKLYN,1,0,4268109
QUEENS,0,0,4268138
QUEENS,1,0,4270269
STATEN ISLAND,1,0,4271195
BRONX,0,0,4283210
BRONX,0,0,4270876
BROOKLYN,0,0,4276409
BROOKLYN,1,0,4268875
QUEENS,0,0,4268809
QUEENS,0,0,4268602
QUEENS,0,0,4268636
BROOKLYN,0,0,4268766
BROOKLYN,2,0,4269313
BROOKLYN,0,0,4269266
QUEENS,0,0,4270120
QUEENS,0,0,4268422
BROOKLYN,1,0,4269860
BRONX,0,0,4269088
MANHATTAN,0,0,4269025
BROOKLYN,0,0,4268389
BROOKLYN,0,0,4273095
QUEENS,1,0,4268383
BROOKLYN,0,0,4269419
BROOKLYN,0,0,4268571
BROOKLYN,0,0,4269151
MANHATTAN,1,0,4271074
BROOKLYN,0,0,4269556
BROOKLYN,0,0,4268420
QUEENS,1,0,4269164
QUEENS,0,0,4268470
BROOKLYN,0,0,4271429
BROOKLYN,0,0,4268957
BRONX,4,0,4271137
BROOKLYN,0,0,4268764
STATEN ISLAND,0,0,4271204
BROOKLYN,0,0,4268426
QUEENS,1,0,4268517
BRONX,1,0,4268950
BROOKLYN,0,0,4268459
BROOKLYN,3,0,4270048
QUEENS,0,0,4268512
QUEENS,0,0,4276384
QUEENS,0,0,4268493
QUEENS,2,0,4269141
QUEENS,0,0,4268550
MANHATTAN,0,0,4268793
BROOKLYN,1,0,4271734
QUEENS,0,0,4268527
BRONX,0,0,4269373
MANHATTAN,0,0,4269337
BROOKLYN,0,0,4268473
MANHATTAN,1,0,4269301
QUEENS,0,0,4268625
QUEENS,1,0,4268804
QUEENS,1,0,4268590
BRONX,0,0,4268581
BROOKLYN,1,0,4269002
QUEENS,0,0,4268600
BROOKLYN,0,0,4281685
MANHATTAN,0,0,4269129
BROOKLYN,0,0,4268534
QUEENS,0,0,4270273
QUEENS,0,0,4268441
BRONX,0,0,4268775
BROOKLYN,0,0,4270712
MANHATTAN,0,0,4269339
BRONX,0,0,4268778
BROOKLYN,0,0,4268998
BROOKLYN,0,0,4269150
QUEENS,1,0,4269130
MANHATTAN,0,0,4268452
BRONX,0,0,4268553
QUEENS,0,0,4269232
BROOKLYN,1,0,4269034
BROOKLYN,0,0,4269403
MANHATTAN,0,0,4269775
QUEENS,0,0,4268681
BROOKLYN,0,0,4269307
BROOKLYN,0,0,4268572
QUEENS,0,0,4268484
MANHATTAN,0,0,4268406
BRONX,0,0,4381479
BROOKLYN,0,0,4269013
QUEENS,0,0,4268516
BROOKLYN,0,0,4269153
BROOKLYN,1,0,4273463
BRONX,0,0,4269095
QUEENS,0,0,4269156
QUEENS,0,0,4269243
BROOKLYN,0,0,4269311
BROOKLYN,2,0,4268510
QUEENS,0,0,4268515
QUEENS,0,0,4269050
MANHATTAN,0,0,4269350
QUEENS,0,0,4268978
QUEENS,0,0,4268810
BRONX,0,0,4268864
QUEENS,0,0,4269224
QUEENS,0,0,4268498
MANHATTAN,1,0,4268374
MANHATTAN,2,0,4268552
MANHATTAN,0,0,4268442
MANHATTAN,0,0,4271266
BRONX,0,0,4268173
BROOKLYN,0,0,4269010
BROOKLYN,1,0,4270773
QUEENS,0,0,4268520
BROOKLYN,0,0,4268353
BROOKLYN,0,0,4268537
MANHATTAN,1,0,4268320
QUEENS,0,0,4268556
QUEENS,1,0,4268514
QUEENS,0,0,4269169
MANHATTAN,0,0,4269121
BRONX,0,0,4268946
QUEENS,0,0,4268454
MANHATTAN,0,0,4268443
